"","Cell_Line","Drug","GDSC","CCLE"
"186","OC 314","Paclitaxel",0.0794692833225186,0.819496026274059
"187","OC 314","Palbociclib",0.109571405972798,0.0118933131308673
"188","OC 314","PD-0325901",0.032489302276454,0.0685338234406573
"189","OC 314","PLX4720",NA,0.00792197881710009
"190","OC 314","Selumetinib",NA,0.0134279174258672
"191","OC 314","Sorafenib",0.0259122770065888,0
"192","OC 314","Topotecan",NA,0.387235566337249
"193","OV-90","Crizotinib",0.0618563543399223,0.0516764306540353
"194","OV-90","Erlotinib",0.0721029602654492,0
"195","OV-90","Irinotecan",0.0785385462295914,0.383838383779697
"196","OV-90","Lapatinib",0.0291075993899502,0.0361632652074846
"197","OV-90","Nilotinib",0.0436025036603194,0.060089810221847
"198","OV-90","Paclitaxel",0.00211686664529955,0.485994825692752
"199","OV-90","Palbociclib",0.0649720993903594,0
"200","OV-90","PD-0325901",0.255868235411355,0.577315067527467
"201","OV-90","PLX4720",0.042105842933806,0.00838095929371922
"202","OV-90","Selumetinib",0.198241219472656,0.433857148910766
"203","OV-90","Sorafenib",0.0658564959889626,0.0233423705359363
"204","OV-90","Topotecan",0.108698719083978,0.392306048835167
"205","OV56","Crizotinib",0,NA
"206","OV56","Erlotinib",0.0191931304917998,NA
"207","OV56","Irinotecan",0.0395919676390066,NA
"208","OV56","Lapatinib",0.0705236996259371,NA
"209","OV56","Nilotinib",0.0300162845640251,NA
"210","OV56","Paclitaxel",0,NA
"211","OV56","Palbociclib",0.0434771063052536,NA
"212","OV56","PD-0325901",0.0332262005156203,NA
"213","OV56","PLX4720",0.0723816256036017,NA
"214","OV56","Selumetinib",0,NA
"215","OV56","Sorafenib",0.017043121999138,NA
"216","OV56","Topotecan",0.353730233031959,NA
"217","OV7","Crizotinib",NA,NA
"218","OV7","Erlotinib",NA,NA
"219","OV7","Irinotecan",NA,NA
"220","OV7","Lapatinib",NA,NA
"221","OV7","Nilotinib",NA,NA
"222","OV7","Paclitaxel",NA,NA
"223","OV7","Palbociclib",NA,NA
"224","OV7","PD-0325901",NA,NA
"225","OV7","PLX4720",NA,NA
"226","OV7","Selumetinib",NA,NA
"227","OV7","Sorafenib",NA,NA
"228","OV7","Topotecan",NA,NA
"229","OVCAR-3","Crizotinib",0.0217207274939138,0.0156029241516264
"230","OVCAR-3","Erlotinib",0.13193620416725,0.144301376051329
"231","OVCAR-3","Irinotecan",0.0389505220664399,0.375004952643097
"232","OVCAR-3","Lapatinib",0.0277733463186303,0.0917509060795901
"233","OVCAR-3","Nilotinib",0.0276684981480444,0.0019063632481434
"234","OVCAR-3","Paclitaxel",0.0184193924775731,0.677620299521374
"235","OVCAR-3","Palbociclib",0,0
"236","OVCAR-3","PD-0325901",0.0110110333677371,0.178947599311959
"237","OVCAR-3","PLX4720",0.0396743258192679,0.0566249999999991
"238","OVCAR-3","Selumetinib",0.00459519809327863,0.163200000000001
"239","OVCAR-3","Sorafenib",0.0928582402020806,0.0241921318497464
"240","OVCAR-3","Topotecan",0.137977851096954,0.188827701173492
"241","OVCAR-4","Crizotinib",0.00980310393850559,0.00544995539741218
"242","OVCAR-4","Erlotinib",0.0640688213151868,0.0890468689794294
"243","OVCAR-4","Irinotecan",0.014531746628765,0.202985773506629
"244","OVCAR-4","Lapatinib",0.00856627656336265,0.0437911026311447
"245","OVCAR-4","Nilotinib",0.0591486806117453,0.0122231830119606
"246","OVCAR-4","Paclitaxel",0.0029389771998006,0.626447520489173
"247","OVCAR-4","Palbociclib",0.0359654671308798,0.0456375000000006
"248","OVCAR-4","PD-0325901",0.0189563988160287,0.158424846551403
"249","OVCAR-4","PLX4720",0.00914403089735879,0.00558518694661622
"250","OVCAR-4","Selumetinib",0.00076044114794066,0.0124974588475192
"251","OVCAR-4","Sorafenib",0.107547499429305,0.0415932734816791
"252","OVCAR-4","Topotecan",0.0571312186432954,0.38180012922404
"253","OVCAR-8","Crizotinib",0,0.026602449151542
"254","OVCAR-8","Erlotinib",0.0617973859608571,NA
"255","OVCAR-8","Irinotecan",0.153376037071701,0.545032610355573
"256","OVCAR-8","Lapatinib",0.0840851543961016,0.0970690467394825
"257","OVCAR-8","Nilotinib",0.0813262512073735,0.0643082833797544
"258","OVCAR-8","Paclitaxel",0.1048708176484,0.816207802780042
"259","OVCAR-8","Palbociclib",0.0108168581940768,0
"260","OVCAR-8","PD-0325901",0.0378724452538026,0.135352296614067
"261","OVCAR-8","PLX4720",0.0168613194757168,0.00880668538230739
"262","OVCAR-8","Selumetinib",0.0358941167089418,0.065442510700401
"263","OVCAR-8","Sorafenib",0.0778586528547126,0.0561365539464012
"264","OVCAR-8","Topotecan",0.367415967443373,0.49800764282404
"265","OVISE","Crizotinib",0,NA
